from_district,to_district,distance_km_estimated
DAKSHIN KANNAD,CHIKBALLAPUR,316.67
DAKSHIN KANNAD,CHIKKAMAGALURU,108.8
DAKSHIN KANNAD,CHITRADURGA,221.43
DAKSHIN KANNAD,DAKSHIN KANNAD,0.0
DAKSHIN KANNAD,DAVANGERE,207.3
DAKSHIN KANNAD,DHARWAD,283.44
DAKSHIN KANNAD,GADAG,291.63
DAKSHIN KANNAD,HASSAN,135.24
DAKSHIN KANNAD,HAVERI,217.24
DAKSHIN KANNAD,KALABURAGI,534.32
DAKSHIN KANNAD,KODAGU,110.12
DAKSHIN KANNAD,KOLAR,355.47
DAKSHIN KANNAD,KOPPAL,304.96
DAKSHIN KANNAD,MANDYA,225.43
DAKSHIN KANNAD,MYSURU,205.37
DAKSHIN KANNAD,RAICHUR,454.03
DAKSHIN KANNAD,RAMANAGARA,263.95
DAKSHIN KANNAD,SHIVAMOGGA,136.71
DAKSHIN KANNAD,TUMAKURU,249.37
DAKSHIN KANNAD,UDUPI,49.03
DAKSHIN KANNAD,UTTAR KANNAD,224.05
DAKSHIN KANNAD,VIJAYAPURA,445.01
DAKSHIN KANNAD,YADGIR,493.53
DAKSHIN KANNAD,VIJAYANAGAR,309.77
DAVANGERE,BAGALKOT,192.61
DAVANGERE,BALLARI,131.08
DAVANGERE,BELAGAVI,217.0
DAVANGERE,BENGALURU (RURAL),238.63
DAVANGERE,BENGALURU (URBAN),245.36
DAVANGERE,BIDAR,419.45
DAVANGERE,CHAMARAJNAGAR,303.58
DAVANGERE,CHIKBALLAPUR,226.34
DAVANGERE,CHIKKAMAGALURU,128.7
DAVANGERE,CHITRADURGA,57.79
DAVANGERE,DAKSHIN KANNAD,207.3
DAVANGERE,DAVANGERE,0.0
DAVANGERE,DHARWAD,147.88
DAVANGERE,GADAG,112.16
DAVANGERE,HASSAN,163.22
DAVANGERE,HAVERI,66.67
DAVANGERE,KALABURAGI,332.77
DAVANGERE,KODAGU,227.72
DAVANGERE,KOLAR,280.44
DAVANGERE,KOPPAL,101.65
DAVANGERE,MANDYA,240.28
DAVANGERE,MYSURU,253.32
DAVANGERE,RAICHUR,247.01
DAVANGERE,RAMANAGARA,243.76
DAVANGERE,SHIVAMOGGA,70.61
DAVANGERE,TUMAKURU,179.84
DAVANGERE,UDUPI,178.38
DAVANGERE,UTTAR KANNAD,196.51
DAVANGERE,VIJAYAPURA,264.04
DAVANGERE,YADGIR,287.14
DAVANGERE,VIJAYANAGAR,102.68
DHARWAD,BAGALKOT,109.42
DHARWAD,BALLARI,208.29
DHARWAD,BELAGAVI,69.79
DHARWAD,BENGALURU (RURAL),384.31
DHARWAD,BENGALURU (URBAN),392.72
DHARWAD,BIDAR,381.95
DHARWAD,CHAMARAJNAGAR,445.42
DHARWAD,CHIKBALLAPUR,369.63
DHARWAD,CHIKKAMAGALURU,252.08
DHARWAD,CHITRADURGA,202.85
DHARWAD,DAKSHIN KANNAD,283.44
DHARWAD,DAVANGERE,147.88
DHARWAD,DHARWAD,0.0
DHARWAD,GADAG,65.69
DHARWAD,HASSAN,297.0
DHARWAD,HAVERI,85.31
DHARWAD,KALABURAGI,283.97
DHARWAD,KODAGU,346.51
DHARWAD,KOLAR,424.07
DHARWAD,KOPPAL,123.56
DHARWAD,MANDYA,384.86
DHARWAD,MYSURU,393.34
DHARWAD,RAICHUR,263.56
DHARWAD,RAMANAGARA,391.39
DHARWAD,SHIVAMOGGA,180.38
DHARWAD,TUMAKURU,327.47
DHARWAD,UDUPI,237.24
DHARWAD,UTTAR KANNAD,119.37
DHARWAD,VIJAYAPURA,169.93
DHARWAD,YADGIR,270.01
DHARWAD,VIJAYANAGAR,149.79
GADAG,BAGALKOT,84.2
GADAG,BALLARI,143.28
GADAG,BELAGAVI,128.92
GADAG,BENGALURU (RURAL),334.81
GADAG,BENGALURU (URBAN),346.45
GADAG,BIDAR,342.08
GADAG,CHAMARAJNAGAR,415.46
GADAG,CHIKBALLAPUR,317.62
GADAG,CHIKKAMAGALURU,235.62
GADAG,CHITRADURGA,157.94
GADAG,DAKSHIN KANNAD,291.63
